noted	1789:60818:1588:285
league	3736:60818:1968:345
secretary	6041:60818:2595:345
accepts	6622:61299:2147:345
howland	9128:61299:2416:285
medal	11903:61314:1588:270
munity.	1767:63011:1879:360
at	4318:63011:648:300
first	5325:63011:1006:300
he	5593:63972:581:270 6645:63011:559:300
would	6443:63972:1499:285 7540:63011:1521:300
be	8189:63972:536:285 9397:63011:514:300
treated	10269:63041:1745:270
with	12373:63026:1096:285
suspicion	1745:63477:2282:360
and	4385:63477:917:315 11388:63987:872:285
high	5683:63477:1141:375
disfavor	7182:63477:2080:330
by	9598:63477:648:390
the	10583:63477:827:330
others.	11746:63477:1722:330
but	1767:63957:917:285
gradually	2953:63957:2394:345
accepted	8994:63972:2125:330
find	12552:63972:917:300
some	14274:2373:1230:195
branch	15863:2283:1700:285
of	17519:3695:469:300 21770:4656:469:270 17944:2268:469:300
endeavor	18794:2283:2237:285
that	18615:4656:939:285 21412:2268:984:300
he	22754:2268:559:300 24567:2733:536:300
was	23672:2358:939:195
best	24992:2268:984:285
fitted	14297:2748:1275:300
to	15930:2808:447:225 15818:4701:447:255
carry	16713:2838:1342:255
out.	18414:2808:894:225
not	20002:2748:962:285
only	21300:2748:1073:345
would	22710:2748:1521:285 23023:3214:1521:285
be	25462:2748:514:270
benefitted,	14274:3229:2550:345
but	17250:3229:783:285
the	14319:3710:760:285 18414:3244:738:270
original	19577:3214:1924:360
six	21927:3214:693:285
reap	24947:3304:1051:255
results	15460:3710:1633:285
his	18391:3695:671:300
assistance.	19488:3695:2573:300
nations	22889:3680:1946:300
are	25238:3785:783:195
in	14342:4175:425:300
many	15147:4280:1297:255
ways	16803:4280:1252:240
exactly	18414:4175:1789:345
like	20562:4175:894:285
that.	21792:4175:1073:285
what	23582:4160:1409:285
we	25350:4250:671:195
have	14342:4656:1141:300
fear	16579:4656:984:285
is	24589:5107:357:285 17899:4656:357:285
period	19913:4656:1543:345
suspicion	22575:4626:2259:360
and	25171:4641:850:285
enmity	14342:5137:1700:345
before	16445:5137:1543:285
