decision	27103:8572:2256:266
of	29717:8572:513:266
princeton	30544:8572:2569:266
a.	34432:8557:625:280 33448:8542:625:295
gives	30991:9045:1452:295
vale	32666:9045:1161:280
harriers	34096:9045:2234:280
victory.	36577:9030:2189:310
finish,	27058:10789:1474:325
the	35750:27047:737:295 30008:13656:759:295 29293:19406:759:280 28756:28008:737:295 36688:26574:737:280 30142:11277:737:280 35102:11720:782:295 30209:11750:759:280 30387:21800:804:280 30767:23234:759:280 31460:22746:715:280 33180:18445:759:266 33113:18918:737:280 32622:24195:737:280 29002:10789:759:280 35035:26101:737:280 29293:24668:759:295 35772:17957:737:266 30879:19879:960:295 36241:21298:737:280 31460:13183:737:280
princeton	34253:18430:2413:280 36331:11720:2435:295 30477:24668:2413:280 30723:28496:2413:280 31840:23234:2435:280 30186:10789:2435:280 27080:15578:2435:266
executive	33091:10774:2524:280 34633:23219:2502:295 36331:20337:2502:280
committee	36107:10774:2658:266
voted	27058:11277:1318:266
that	28801:11750:960:280 28779:11277:983:266 37806:12666:960:295 29672:25140:983:295 31348:24180:983:295 36621:20825:960:280
meet	31281:11306:1161:236 37672:19435:1161:221
should	34789:13154:1608:310 32868:11262:1586:280 36219:12178:1608:310
be	36800:13154:558:295 34856:11262:536:266 38252:12193:536:295
awarded	35772:11232:2122:295
to	29203:13701:469:236 33203:26618:469:251 38297:11277:469:251 36532:25170:491:236 33404:21357:446:236
vale,	27058:11750:1273:339
manager	31415:11750:2256:339
of	34119:11735:536:280 29114:27062:491:295 34789:17957:513:280 31460:20352:491:295 34186:26101:491:280 30499:13183:513:280 29337:12696:513:295 33091:17484:513:280 32331:18445:513:280 28376:19406:491:280 29940:23234:513:280 29494:21800:513:266 30477:22761:513:266
freshman	30477:19406:2480:280 27058:12223:2502:280
cross	33404:19391:1385:295 30030:12223:1385:280
country	31884:12223:2055:339 35236:19376:2033:354
team	34365:12208:1452:295
relieved	27058:12696:1943:295
his	30209:12696:670:295
duties	31214:12696:1452:295
as	28198:26678:491:192 33672:21889:469:177 34543:27624:491:192 33024:12799:469:192 34275:22362:469:177
manager,	33851:12696:2368:325
and	35236:22746:893:280 33538:28496:871:280 36599:12681:849:280 32801:28983:849:266 27125:18445:871:280 37940:21771:871:280 27147:26116:871:266
a	27058:13272:268:192
statement	31840:18002:2368:251 27706:13228:2390:236
actions	32622:13169:1720:295
forwarded	37783:13154:737:280 27058:13656:1809:280
vale	33694:24180:1340:280 31102:13656:1161:295 37694:26559:1161:295
athletic	37024:18416:1809:295 33024:15563:2010:280 32599:13642:1832:310
authorities."	34789:13642:3083:295
professor	27639:14129:2457:295 27080:15090:2480:280
nettleton's	30477:14129:2748:310
reply	33605:14129:1273:339
follows:	35258:14129:2077:339
november	33918:17470:2591:280 32935:14602:2591:295
13,	35906:14632:670:325
1925.	37001:14617:1206:266
charles	29918:15090:1876:280
w.	32130:15105:759:266
kennedy,	33225:15090:2323:339
university	29918:15563:2681:354
association,	35459:15548:3038:325
88	27080:16095:536:236
nassau	28019:16051:1832:280
street,	30231:16036:1608:369
princeton,	27103:16524:2569:339
new	30030:16524:1161:295
jersey.	31505:16524:1742:339
my	27103:17011:826:325
dear	28265:17011:1072:280
mr.	29672:16997:893:295
